username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,"28,985",https://www.github.com/CSSEGISandData/COVID-19
covid19india,covid19india-react,"6,893",https://www.github.com/covid19india/covid19india-react
nytimes,covid-19-data,"6,877",https://www.github.com/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,"6,365",https://www.github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,"5,372",https://www.github.com/owid/covid-19-data
pcm-dpc,COVID-19,"3,924",https://www.github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,"2,842",https://www.github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,"2,407",https://www.github.com/disease-sh/API
geohot,corona,"2,248",https://www.github.com/geohot/corona
WorldHealthOrganization,app,"2,103",https://www.github.com/WorldHealthOrganization/app
corona-warn-app,cwa-server,"1,863",https://www.github.com/corona-warn-app/cwa-server
ahmadawais,corona-cli,"1,850",https://www.github.com/ahmadawais/corona-cli
github,covid19-dashboard,"1,635",https://www.github.com/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,"1,598",https://www.github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,"1,501",https://www.github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,"1,468",https://www.github.com/mhdhejazi/CoronaTracker
neherlab,covid19_scenarios,"1,373",https://www.github.com/neherlab/covid19_scenarios
chandrikadeb7,Face-Mask-Detection,"1,302",https://www.github.com/chandrikadeb7/Face-Mask-Detection
pomber,covid19,"1,226",https://www.github.com/pomber/covid19
covidpass-org,covidpass,"1,226",https://www.github.com/covidpass-org/covidpass
